Reference,Item number,Type,Word,COCA Count,COCA Total Count,COCA Frequency per 1000 words
Singson et al. (2000),35,Target,glorious,68,5536628,0.012281843750383808
Singson et al. (2000),35,Foil,gloriousness,0,5536628,0.0
Singson et al. (2000),35,Foil,glorify,2,5536628,0.0003612306985407002
Singson et al. (2000),35,Foil,glorification,0,5536628,0.0
Singson et al. (2000),36,Target,deadness,0,5536628,0.0
Singson et al. (2000),36,Foil,dead,1154,5536628,0.208430113057984
Singson et al. (2000),36,Foil,deadly,129,5536628,0.023299380055875164
Singson et al. (2000),36,Foil,deaden,2,5536628,0.0003612306985407002
Singson et al. (2000),37,Target,actve,0,5536628,0.0
Singson et al. (2000),37,Foil,activation,6,5536628,0.0010836920956221008
Singson et al. (2000),37,Foil,activity,373,5536628,0.0673695252778406
Singson et al. (2000),37,Foil,activate,14,5536628,0.002528614889784902
Singson et al. (2000),38,Target,critical,147,5536628,0.026550456342741467
Singson et al. (2000),38,Foil,critically,16,5536628,0.0028898455883256016
Singson et al. (2000),38,Foil,criticism,31,5536628,0.005599075827380853
Singson et al. (2000),38,Foil,criticize,20,5536628,0.003612306985407002
Singson et al. (2000),39,Target,conversationalist,1,5536628,0.0001806153492703501
Singson et al. (2000),39,Foil,conversational,5,5536628,0.0009030767463517505
Singson et al. (2000),39,Foil,converse,5,5536628,0.0009030767463517505
Singson et al. (2000),39,Foil,conversation,340,5536628,0.06140921875191904
Singson et al. (2000),40,Target,diversify,3,5536628,0.0005418460478110504
Singson et al. (2000),40,Foil,diversionary,2,5536628,0.0003612306985407002
Singson et al. (2000),40,Foil,diversity,19,5536628,0.003431691636136652
Singson et al. (2000),40,Foil,diversion,22,5536628,0.003973537683947702
Nagy et al. (2003),41,Target,directions,224,5536628,0.04045783823655843
Nagy et al. (2003),41,Foil,directs,18,5536628,0.003251076286866302
Nagy et al. (2003),41,Foil,directing,30,5536628,0.0054184604781105025
Nagy et al. (2003),41,Foil,directed,71,5536628,0.012823689798194858
Nagy et al. (2003),42,Target,loveliest,9,5536628,0.001625538143433151
Nagy et al. (2003),42,Foil,loving,182,5536628,0.032871993567203724
Nagy et al. (2003),42,Foil,lovingly,22,5536628,0.003973537683947702
Nagy et al. (2003),42,Foil,loveliness,8,5536628,0.0014449227941628008
Nagy et al. (2003),43,Target,announcement,66,5536628,0.011920613051843106
Nagy et al. (2003),43,Foil,announce,56,5536628,0.010114459559139607
Nagy et al. (2003),43,Foil,announcing,30,5536628,0.0054184604781105025
Nagy et al. (2003),43,Foil,announced,290,5536628,0.05237845128840153
Nagy et al. (2003),44,Target,quickness,11,5536628,0.001986768841973851
Nagy et al. (2003),44,Foil,quicker,46,5536628,0.008308306066436105
Nagy et al. (2003),44,Foil,quickly,1220,5536628,0.22035072610982714
Nagy et al. (2003),44,Foil,quickest,14,5536628,0.002528614889784902
Nagy et al. (2003),45,Target,creation,57,5536628,0.010295074908409958
Nagy et al. (2003),45,Foil,creative,133,5536628,0.024021841452956563
Nagy et al. (2003),45,Foil,creator,30,5536628,0.0054184604781105025
Nagy et al. (2003),45,Foil,creates,71,5536628,0.012823689798194858
James et al. (2021),96,Target,pick,960,5536628,0.17339073529953608
James et al. (2021),96,Foil,picks,195,5536628,0.03521999310771827
James et al. (2021),96,Foil,pickes,0,5536628,0.0
James et al. (2021),96,Foil,picker,5,5536628,0.0009030767463517505
James et al. (2021),97,Target,carry,575,5536628,0.10385382583045132
James et al. (2021),97,Foil,carries,94,5536628,0.01697784283141291
James et al. (2021),97,Foil,carried,475,5536628,0.0857922909034163
James et al. (2021),97,Foil,carrying,416,5536628,0.07513598529646565
James et al. (2021),98,Target,laugh,615,5536628,0.11107843980126532
James et al. (2021),98,Foil,laughs,190,5536628,0.03431691636136652
James et al. (2021),98,Foil,laughing,585,5536628,0.10565997932315481
James et al. (2021),98,Foil,laugher,0,5536628,0.0
James et al. (2021),99,Target,plant,272,5536628,0.04912737500153523
