Reference,Item number,Type,Word,COCA Count,COCA Total Count,COCA Frequency per 1000 words
Deacon et al. (2013),226,Target,cleaner,54,5536628,0.009753228860598907
Deacon et al. (2013),228,Input,deep,1344,5536628,0.24274702941935056
Deacon et al. (2013),228,Target,depth,44,5536628,0.007947075367895405
Deacon et al. (2013),230,Input,mouse,262,5536628,0.04732122150883173
Deacon et al. (2013),230,Target,mice,146,5536628,0.026369840993471116
Deacon et al. (2013),232,Input,scratch,102,5536628,0.018422765625575713
Deacon et al. (2013),232,Target,scratched,103,5536628,0.018603380974846064
Deacon et al. (2013),234,Input,true,1192,5536628,0.21529349633025732
Deacon et al. (2013),234,Target,truth,547,5536628,0.09879659605088151
Deacon et al. (2013),236,Input,farm,480,5536628,0.08669536764976804
Deacon et al. (2013),236,Target,farmer,226,5536628,0.04081906893509913
Deacon et al. (2013),238,Input,mild,129,5536628,0.023299380055875164
Deacon et al. (2013),238,Target,mildly,22,5536628,0.003973537683947702
Deacon et al. (2013),240,Input,sing,380,5536628,0.06863383272273305
Deacon et al. (2013),240,Target,sang,193,5536628,0.03485876240917757
Deacon et al. (2013),242,Input,science,403,5536628,0.07278798575595109
Deacon et al. (2013),242,Target,scientist,103,5536628,0.018603380974846064
Deacon et al. (2013),244,Input,shrink,52,5536628,0.009391998162058206
Deacon et al. (2013),244,Target,shrinkage,1,5536628,0.0001806153492703501
Deacon et al. (2013),246,Input,bold,98,5536628,0.01770030422849431
Deacon et al. (2013),246,Target,boldly,30,5536628,0.0054184604781105025
Deacon et al. (2013),248,Input,fly,715,5536628,0.12913997472830033
Deacon et al. (2013),248,Target,flying,510,5536628,0.09211382812787856
Deacon (2012),250,Input,plugs,12,5536628,0.0021673841912442015
Deacon (2012),250,Target,plugged,31,5536628,0.005599075827380853
Deacon (2012),252,Input,chased,100,5536628,0.018061534927035012
Deacon (2012),252,Target,chases,27,5536628,0.004876614430299454
Deacon (2012),254,Input,slammed,167,5536628,0.03016276332814847
Deacon (2012),254,Target,slams,59,5536628,0.010656305606950658
Deacon (2012),256,Input,feeds,44,5536628,0.007947075367895405
Deacon (2012),256,Target,fed,194,5536628,0.035039377758447926
Deacon (2012),258,Input,crept,137,5536628,0.024744302850037963
Deacon (2012),258,Target,creeps,24,5536628,0.004334768382488403
Deacon (2012),260,Input,sells,33,5536628,0.005960306525921553
Deacon (2012),260,Target,sold,250,5536628,0.04515383731758753
Deacon (2012),262,Input,ran,1589,5536628,0.28699778999058634
Deacon (2012),262,Target,runs,624,5536628,0.11270397794469847
Deacon (2012),264,Input,opens,258,5536628,0.04659876011175033
Deacon (2012),264,Target,opened,1134,5536628,0.20481780607257702
Deacon et al. (2007),266,Input,shakes,90,5536628,0.01625538143433151
Deacon et al. (2007),266,Target,shook,1042,5536628,0.18820119393970483
Deacon et al. (2007),268,Input,keeping,464,5536628,0.08380552206144246
Deacon et al. (2007),268,Target,kept,1206,5536628,0.21782211122004225
Deacon et al. (2007),270,Input,fed,194,5536628,0.035039377758447926
Deacon et al. (2007),270,Target,feeds,44,5536628,0.007947075367895405
Deacon et al. (2007),272,Input,left,3393,5536628,0.612827880074298
Deacon et al. (2007),272,Target,leaves,829,5536628,0.14973012454512025
Deacon et al. (2007),274,Input,laughed,949,5536628,0.17140396645756226
Deacon et al. (2007),274,Target,laughs,190,5536628,0.03431691636136652
Deacon et al. (2007),276,Input,slams,59,5536628,0.010656305606950658
Deacon et al. (2007),276,Target,slammed,167,5536628,0.03016276332814847
Deacon et al. (2007),278,Input,runs,624,5536628,0.11270397794469847
Deacon et al. (2007),278,Target,ran,1589,5536628,0.28699778999058634
Deacon et al. (2014),288,Input,strong,922,5536628,0.16652735202726282
Deacon et al. (2014),288,Target,strongest,42,5536628,0.007585844669354705
Deacon et al. (2014),290,Input,chill,163,5536628,0.02944030193106707
Deacon et al. (2014),290,Target,chilly,66,5536628,0.011920613051843106
Deacon et al. (2014),292,Input,write,1080,5536628,0.19506457721197812
Deacon et al. (2014),292,Target,writer,173,5536628,0.031246455423770567
Deacon et al. (2014),294,Input,curl,69,5536628,0.012462459099654157
Deacon et al. (2014),294,Target,curly,175,5536628,0.03160768612231127
Deacon et al. (2014),296,Input,store,868,5536628,0.1567741231666639
Deacon et al. (2014),296,Target,storage,98,5536628,0.01770030422849431
Deacon et al. (2014),298,Input,bite,319,5536628,0.05761629641724169
Deacon et al. (2014),298,Target,biting,111,5536628,0.020048303769008863
Deacon et al. (2014),300,Input,goose,129,5536628,0.023299380055875164
Deacon et al. (2014),300,Target,geese,55,5536628,0.009933844209869256
Deacon et al. (2014),302,Input,obedient,13,5536628,0.0023479995405145514
Deacon et al. (2014),302,Target,obedience,14,5536628,0.002528614889784902
Deacon et al. (2014),304,Input,strong,922,5536628,0.16652735202726282
Deacon et al. (2014),304,Target,strength,439,5536628,0.0792901383296837
Deacon et al. (2014),306,Input,clean,782,5536628,0.1412412031294138
Deacon et al. (2014),306,Target,cleaner,54,5536628,0.009753228860598907
Deacon et al. (2014),308,Input,deep,1344,5536628,0.24274702941935056
Deacon et al. (2014),308,Target,depth,44,5536628,0.007947075367895405
Deacon et al. (2014),310,Input,mouse,262,5536628,0.04732122150883173
Deacon et al. (2014),310,Target,mice,146,5536628,0.026369840993471116
Deacon et al. (2014),312,Input,scratch,102,5536628,0.018422765625575713
Deacon et al. (2014),312,Target,scratched,103,5536628,0.018603380974846064
Deacon et al. (2014),314,Input,true,1192,5536628,0.21529349633025732
Deacon et al. (2014),314,Target,truth,547,5536628,0.09879659605088151
Deacon et al. (2014),316,Input,farm,480,5536628,0.08669536764976804
Deacon et al. (2014),316,Target,farmer,226,5536628,0.04081906893509913
Deacon et al. (2014),318,Input,mild,129,5536628,0.023299380055875164
Deacon et al. (2014),318,Target,mildly,22,5536628,0.003973537683947702
Deacon et al. (2014),320,Input,sing,380,5536628,0.06863383272273305
Deacon et al. (2014),320,Target,sang,193,5536628,0.03485876240917757
Deacon et al. (2014),322,Input,science,403,5536628,0.07278798575595109
Deacon et al. (2014),322,Target,scientist,103,5536628,0.018603380974846064
Deacon et al. (2014),324,Input,shrink,52,5536628,0.009391998162058206
Deacon et al. (2014),324,Target,shrinkage,1,5536628,0.0001806153492703501
Deacon et al. (2014),326,Input,bold,98,5536628,0.01770030422849431
Deacon et al. (2014),326,Target,boldly,30,5536628,0.0054184604781105025
Deacon et al. (2014),328,Input,fly,715,5536628,0.12913997472830033
Deacon et al. (2014),328,Target,flying,510,5536628,0.09211382812787856
Ku & Anderson (2003),330,Input,grow,775,5536628,0.13997689568452132
Ku & Anderson (2003),330,Target,growth,192,5536628,0.034678147059907224
Ku & Anderson (2003),331,Input,dance,888,5536628,0.1603864301520709
Ku & Anderson (2003),331,Target,dancer,56,5536628,0.010114459559139607
Ku & Anderson (2003),332,Input,art,510,5536628,0.09211382812787856
Ku & Anderson (2003),332,Target,artist,170,5536628,0.03070460937595952
Ku & Anderson (2003),333,Input,baker,153,5536628,0.02763414843836357
Ku & Anderson (2003),333,Target,bakery,59,5536628,0.010656305606950658
Ku & Anderson (2003),334,Input,dirt,412,5536628,0.07441352389938426
Ku & Anderson (2003),334,Target,dirty,251,5536628,0.04533445266685788
Ku & Anderson (2003),335,Input,after,6932,5536628,1.252025601142067
Ku & Anderson (2003),335,Target,afternoon,770,5536628,0.13907381893816959
Ku & Anderson (2003),336,Input,man,5451,5536628,0.9845342688726785
Ku & Anderson (2003),336,Target,many,3922,5536628,0.7083733998383132
Ku & Anderson (2003),337,Input,person,1370,5536628,0.24744302850037966
Ku & Anderson (2003),337,Target,personal,400,5536628,0.07224613970814005
Ku & Anderson (2003),338,Input,pain,699,5536628,0.12625012913997474
Ku & Anderson (2003),338,Target,painful,158,5536628,0.02853722518471532
Ku & Anderson (2003),339,Input,fire,1438,5536628,0.25972487225076346
Ku & Anderson (2003),339,Target,fireplace,95,5536628,0.01715845818068326
Levesque et al. (2019),340,Input,agree,283,5536628,0.05111414384350908
Levesque et al. (2019),340,Target,agreeable,9,5536628,0.001625538143433151
Levesque et al. (2019),341,Input,depend,70,5536628,0.012643074448924508
Levesque et al. (2019),341,Target,dependable,16,5536628,0.0028898455883256016
Levesque et al. (2019),342,Input,fear,692,5536628,0.12498582169508227
Levesque et al. (2019),342,Target,fearless,29,5536628,0.0052378451288401535
Levesque et al. (2019),343,Input,forget,707,5536628,0.12769505193413755
Levesque et al. (2019),343,Target,forgetful,9,5536628,0.001625538143433151
Levesque et al. (2019),344,Input,knowledge,286,5536628,0.05165598989132013
Levesque et al. (2019),344,Target,knowledgeable,12,5536628,0.0021673841912442015
Levesque et al. (2019),345,Input,local,742,5536628,0.1340165891585998
Levesque et al. (2019),345,Target,locally,13,5536628,0.0023479995405145514
Levesque et al. (2019),346,Input,loud,589,5536628,0.10638244072023621
Levesque et al. (2019),346,Target,loudness,0,5536628,0.0
Levesque et al. (2019),347,Input,measure,189,5536628,0.03413630101209617
Levesque et al. (2019),347,Target,measurable,2,5536628,0.0003612306985407002
Levesque et al. (2019),348,Input,purpose,224,5536628,0.04045783823655843
Levesque et al. (2019),348,Target,purposeful,5,5536628,0.0009030767463517505
Levesque et al. (2019),349,Input,question,878,5536628,0.1585802766593674
Levesque et al. (2019),349,Target,questionable,6,5536628,0.0010836920956221008
Levesque et al. (2019),350,Input,respect,295,5536628,0.053281528034753285
Levesque et al. (2019),350,Target,respectful,22,5536628,0.003973537683947702
Levesque et al. (2019),351,Input,rich,628,5536628,0.11342643934177987
Levesque et al. (2019),351,Target,richness,10,5536628,0.001806153492703501
Levesque et al. (2019),352,Input,sense,836,5536628,0.1509944319900127
Levesque et al. (2019),352,Target,senseless,7,5536628,0.001264307444892451
Levesque et al. (2019),353,Input,serious,610,5536628,0.11017536305491357
Levesque et al. (2019),353,Target,seriousness,9,5536628,0.001625538143433151
Levesque et al. (2019),354,Input,slow,498,5536628,0.08994644393663435
Levesque et al. (2019),354,Target,slowness,4,5536628,0.0007224613970814004
Levesque et al. (2019),355,Input,smooth,340,5536628,0.06140921875191904
Levesque et al. (2019),355,Target,smoothness,8,5536628,0.0014449227941628008
Levesque et al. (2019),356,Input,soft,724,5536628,0.13076551287173346
Levesque et al. (2019),356,Target,softness,11,5536628,0.001986768841973851
Levesque et al. (2019),357,Input,speech,243,5536628,0.04388952987269508
Levesque et al. (2019),357,Target,speechless,34,5536628,0.006140921875191904
Levesque et al. (2019),358,Input,taste,437,5536628,0.078928907631143
Levesque et al. (2019),358,Target,tasteless,5,5536628,0.0009030767463517505
Levesque et al. (2019),359,Input,weight,732,5536628,0.13221043566589627
Levesque et al. (2019),359,Target,weightless,8,5536628,0.0014449227941628008
Levesque et al. (2019),360,Input,align,3,5536628,0.0005418460478110504
Levesque et al. (2019),360,Target,alignment,5,5536628,0.0009030767463517505
Levesque et al. (2019),361,Input,appraise,0,5536628,0.0
Levesque et al. (2019),361,Target,appraisal,3,5536628,0.0005418460478110504
Levesque et al. (2019),362,Input,cease,29,5536628,0.0052378451288401535
Levesque et al. (2019),362,Target,ceaseless,4,5536628,0.0007224613970814004
Levesque et al. (2019),363,Input,conceive,14,5536628,0.002528614889784902
Levesque et al. (2019),363,Target,conceivable,6,5536628,0.0010836920956221008
Levesque et al. (2019),364,Input,confine,5,5536628,0.0009030767463517505
Levesque et al. (2019),364,Target,confinement,13,5536628,0.0023479995405145514
Levesque et al. (2019),365,Input,coward,32,5536628,0.005779691176651203
Levesque et al. (2019),365,Target,cowardly,12,5536628,0.0021673841912442015
Levesque et al. (2019),366,Input,dispose,13,5536628,0.0023479995405145514
Levesque et al. (2019),366,Target,disposable,32,5536628,0.005779691176651203
Levesque et al. (2019),367,Input,endorse,3,5536628,0.0005418460478110504
Levesque et al. (2019),367,Target,endorsement,2,5536628,0.0003612306985407002
Levesque et al. (2019),368,Input,envy,51,5536628,0.009211382812787857
Levesque et al. (2019),368,Target,envious,8,5536628,0.0014449227941628008
Levesque et al. (2019),369,Input,eternal,36,5536628,0.006502152573732604
Levesque et al. (2019),369,Target,eternally,9,5536628,0.001625538143433151
Levesque et al. (2019),370,Input,forgive,130,5536628,0.023479995405145514
Levesque et al. (2019),370,Target,forgiveness,31,5536628,0.005599075827380853
Levesque et al. (2019),371,Input,fright,41,5536628,0.007405229320084355
Levesque et al. (2019),371,Target,frightful,9,5536628,0.001625538143433151
Levesque et al. (2019),372,Input,hazard,35,5536628,0.006321537224462254
Levesque et al. (2019),372,Target,hazardous,13,5536628,0.0023479995405145514
Levesque et al. (2019),373,Input,install,18,5536628,0.003251076286866302
Levesque et al. (2019),373,Target,installment,7,5536628,0.001264307444892451
Levesque et al. (2019),374,Input,mourn,17,5536628,0.003070460937595952
Levesque et al. (2019),374,Target,mournful,19,5536628,0.003431691636136652
Levesque et al. (2019),375,Input,nourish,1,5536628,0.0001806153492703501
Levesque et al. (2019),375,Target,nourishment,13,5536628,0.0023479995405145514
Levesque et al. (2019),376,Input,rehearse,17,5536628,0.003070460937595952
Levesque et al. (2019),376,Target,rehearsal,30,5536628,0.0054184604781105025
Levesque et al. (2019),377,Input,resent,20,5536628,0.003612306985407002
Levesque et al. (2019),377,Target,resentful,7,5536628,0.001264307444892451
Levesque et al. (2019),378,Input,stain,36,5536628,0.006502152573732604
Levesque et al. (2019),378,Target,stainless,16,5536628,0.0028898455883256016
Levesque et al. (2019),379,Input,timid,18,5536628,0.003251076286866302
Levesque et al. (2019),379,Target,timidly,10,5536628,0.001806153492703501
Gómez (2009),380,Input,music,872,5536628,0.1574965845637453
Gómez (2009),380,Target,musician,40,5536628,0.007224613970814004
Gómez (2009),381,Input,popular,304,5536628,0.054907066178186435
Gómez (2009),381,Target,popularity,31,5536628,0.005599075827380853
Gómez (2009),382,Input,growth,192,5536628,0.034678147059907224
Gómez (2009),382,Target,grow,775,5536628,0.13997689568452132
Gómez (2009),383,Input,slow,498,5536628,0.08994644393663435
Gómez (2009),383,Target,slowest,10,5536628,0.001806153492703501
Gómez (2009),384,Input,science,403,5536628,0.07278798575595109
Gómez (2009),384,Target,scientist,103,5536628,0.018603380974846064
Gómez (2009),385,Input,four,2329,5536628,0.4206531484506454
Gómez (2009),385,Target,fourth,320,5536628,0.057796911766512034
Gómez (2009),386,Input,local,742,5536628,0.1340165891585998
Gómez (2009),386,Target,locality,2,5536628,0.0003612306985407002
Gómez (2009),387,Input,produce,124,5536628,0.022396303309523413
Gómez (2009),387,Target,production,76,5536628,0.013726766544546609
Gómez (2009),388,Input,vary,93,5536628,0.01679722748214256
Gómez (2009),388,Target,varied,29,5536628,0.0052378451288401535
Gómez (2009),389,Input,wide,787,5536628,0.14214427987576556
Gómez (2009),389,Target,width,26,5536628,0.004695999081029103
Gómez (2009),390,Input,assist,74,5536628,0.013365535846005907
Gómez (2009),390,Target,assistance,180,5536628,0.03251076286866302
Gómez (2009),391,Input,calm,411,5536628,0.07423290855011389
Gómez (2009),391,Target,calmly,107,5536628,0.019325842371927464
Gómez (2009),392,Input,magic,579,5536628,0.10457628722753272
Gómez (2009),392,Target,magician,62,5536628,0.011198151654761707
Gómez (2009),393,Input,strong,922,5536628,0.16652735202726282
Gómez (2009),393,Target,strength,439,5536628,0.0792901383296837
Gómez (2009),394,Input,discuss,197,5536628,0.03558122380625897
Gómez (2009),394,Target,discussion,131,5536628,0.023660610754415865
Gómez (2009),395,Input,appear,282,5536628,0.05093352849423873
Gómez (2009),395,Target,appearance,129,5536628,0.023299380055875164
Gómez (2009),396,Input,remark,51,5536628,0.009211382812787857
Gómez (2009),396,Target,remarkable,73,5536628,0.013184920496735558
Gómez (2009),397,Input,major,612,5536628,0.11053659375345427
Gómez (2009),397,Target,majority,73,5536628,0.013184920496735558
Gómez (2009),398,Input,density,16,5536628,0.0028898455883256016
Gómez (2009),398,Target,dense,48,5536628,0.008669536764976806
Gómez (2009),399,Input,mystery,234,5536628,0.04226399172926193
Gómez (2009),399,Target,mysterious,171,5536628,0.030885224725229865
Gómez (2009),400,Input,permit,46,5536628,0.008308306066436105
Gómez (2009),400,Target,permission,177,5536628,0.03196891682085197
Gómez (2009),401,Input,jacket,297,5536628,0.05364275873329399
Gómez (2009),401,Target,jackets,59,5536628,0.010656305606950658
Gómez (2009),402,Input,human,735,5536628,0.13275228171370732
Gómez (2009),402,Target,humanity,16,5536628,0.0028898455883256016
Gómez (2009),403,Input,skip,129,5536628,0.023299380055875164
Gómez (2009),403,Target,skipped,75,5536628,0.013546151195276258
Gómez (2009),404,Input,description,78,5536628,0.014087997243087309
Gómez (2009),404,Target,describe,137,5536628,0.024744302850037963
Gómez (2009),405,Input,runner,139,5536628,0.025105533548578664
Gómez (2009),405,Target,run,2132,5536628,0.38507192464438644
Gómez (2009),406,Input,cloud,347,5536628,0.06267352619681149
Gómez (2009),406,Target,cloudy,36,5536628,0.006502152573732604
McCutchen & Logan (2011),407,Input,four,2329,5536628,0.4206531484506454
McCutchen & Logan (2011),407,Target,fourth,320,5536628,0.057796911766512034
McCutchen & Logan (2011),408,Input,ill,296,5536628,0.05346214338402363
McCutchen & Logan (2011),408,Target,illness,138,5536628,0.024924918199308314
McCutchen & Logan (2011),409,Input,allow,378,5536628,0.06827260202419234
McCutchen & Logan (2011),409,Target,allowance,73,5536628,0.013184920496735558
McCutchen & Logan (2011),410,Input,strong,922,5536628,0.16652735202726282
McCutchen & Logan (2011),410,Target,strength,439,5536628,0.0792901383296837
McCutchen & Logan (2011),411,Input,art,510,5536628,0.09211382812787856
McCutchen & Logan (2011),411,Target,artist,170,5536628,0.03070460937595952
McCutchen & Logan (2011),412,Input,quick,708,5536628,0.12787566728340788
McCutchen & Logan (2011),412,Target,quickly,1220,5536628,0.22035072610982714
McCutchen & Logan (2011),413,Input,victory,176,5536628,0.03178830147158162
McCutchen & Logan (2011),413,Target,victorious,12,5536628,0.0021673841912442015
McCutchen & Logan (2011),414,Input,assume,101,5536628,0.018242150276305363
McCutchen & Logan (2011),414,Target,assumption,18,5536628,0.003251076286866302
McCutchen & Logan (2011),415,Input,music,872,5536628,0.1574965845637453
McCutchen & Logan (2011),415,Target,musician,40,5536628,0.007224613970814004
McCutchen & Logan (2011),416,Input,care,2594,5536628,0.4685162160072882
McCutchen & Logan (2011),416,Target,careful,467,5536628,0.0843473681092535
McCutchen & Logan (2011),417,Input,sad,435,5536628,0.07856767693260229
McCutchen & Logan (2011),417,Target,sadness,75,5536628,0.013546151195276258
McCutchen & Logan (2011),418,Input,decide,391,5536628,0.0706206015647069
McCutchen & Logan (2011),418,Target,decision,323,5536628,0.058338757814323086
McCutchen & Logan (2011),419,Input,swim,381,5536628,0.06881444807200339
McCutchen & Logan (2011),419,Target,swimmer,69,5536628,0.012462459099654157
McCutchen & Logan (2011),420,Input,examine,93,5536628,0.01679722748214256
McCutchen & Logan (2011),420,Target,examination,64,5536628,0.011559382353302406
McCutchen & Logan (2011),421,Input,nerve,95,5536628,0.01715845818068326
McCutchen & Logan (2011),421,Target,nervous,387,5536628,0.0698981401676255
McCutchen & Logan (2011),422,Input,trick,300,5536628,0.05418460478110503
McCutchen & Logan (2011),422,Target,tricky,65,5536628,0.011739997702572757
McCutchen & Logan (2011),423,Input,five,1920,5536628,0.34678147059907216
McCutchen & Logan (2011),423,Target,fifth,255,5536628,0.04605691406393928
McCutchen & Logan (2011),424,Input,absent,32,5536628,0.005779691176651203
McCutchen & Logan (2011),424,Target,absence,50,5536628,0.009030767463517506
McCutchen & Logan (2011),425,Input,win,843,5536628,0.15225873943490514
McCutchen & Logan (2011),425,Target,winner,217,5536628,0.03919353079166597
McCutchen & Logan (2011),426,Input,distant,156,5536628,0.028175994486174617
McCutchen & Logan (2011),426,Target,distance,473,5536628,0.0854310602048756
McCutchen & Logan (2011),427,Input,science,403,5536628,0.07278798575595109
McCutchen & Logan (2011),427,Target,scientist,103,5536628,0.018603380974846064
McCutchen & Logan (2011),428,Input,deep,1344,5536628,0.24274702941935056
McCutchen & Logan (2011),428,Target,depth,44,5536628,0.007947075367895405
McCutchen & Logan (2011),429,Input,pain,699,5536628,0.12625012913997474
McCutchen & Logan (2011),429,Target,painful,158,5536628,0.02853722518471532
McCutchen & Logan (2011),430,Input,think,6346,5536628,1.1461850064696417
McCutchen & Logan (2011),430,Target,thought,4675,5536628,0.8443767578388868
McCutchen & Logan (2011),431,Input,accept,254,5536628,0.045876298714668924
McCutchen & Logan (2011),431,Target,acceptable,51,5536628,0.009211382812787857
McCutchen & Logan (2011),432,Input,comfort,232,5536628,0.04190276103072123
McCutchen & Logan (2011),432,Target,comfortable,339,5536628,0.06122860340264869
McCutchen & Logan (2011),433,Input,sign,827,5536628,0.14936889384657956
McCutchen & Logan (2011),433,Target,signature,41,5536628,0.007405229320084355
McCutchen & Logan (2011),434,Input,long,5091,5536628,0.9195127431353525
McCutchen & Logan (2011),434,Target,length,252,5536628,0.04551506801612822
McCutchen & Logan (2011),435,Input,know,10391,5536628,1.8767740942682078
McCutchen & Logan (2011),435,Target,knowledge,286,5536628,0.05165598989132013
McCutchen & Logan (2011),436,Input,excel,28,5536628,0.005057229779569804
McCutchen & Logan (2011),436,Target,excellent,154,5536628,0.027814763787633916
Roth (2007),437,Input,walk,1315,5536628,0.2375091842905104
Roth (2007),437,Target,walked,1481,5536628,0.2674913322693885
Roth (2007),438,Input,sneaker,16,5536628,0.0028898455883256016
Roth (2007),438,Target,sneakers,97,5536628,0.017519688879223963
Roth (2007),439,Input,low,1008,5536628,0.1820602720645129
Roth (2007),439,Target,lower,392,5536628,0.07080121691397724
Roth (2007),440,Input,stood,1691,5536628,0.30542055561616205
Roth (2007),440,Target,stand,1059,5536628,0.19127165487730077
Roth (2007),441,Input,lose,617,5536628,0.11143967049980602
Roth (2007),441,Target,lost,1345,5536628,0.24292764476862092
Roth (2007),442,Input,say,4718,5536628,0.8521432178575118
Roth (2007),442,Target,said,20477,5536628,3.698460507008959
Roth (2007),443,Input,child,6346,5536628,1.1461850064696417
Roth (2007),443,Target,children,5853,5536628,1.0571416392793591
Roth (2007),444,Input,kept,1206,5536628,0.21782211122004225
Roth (2007),444,Target,keep,3490,5536628,0.6303475689535218
Roth (2007),445,Input,taller,128,5536628,0.023118764706604813
Roth (2007),445,Target,tall,828,5536628,0.1495495091958499
Roth (2007),446,Input,person,1370,5536628,0.24744302850037966
Roth (2007),446,Target,people,5986,5536628,1.0811634807323158
Roth (2007),447,Input,fun,1697,5536628,0.30650424771178414
Roth (2007),447,Target,funny,620,5536628,0.11198151654761707
Roth (2007),448,Input,bake,266,5536628,0.048043682905913127
Roth (2007),448,Target,baker,153,5536628,0.02763414843836357
Roth (2007),449,Input,sun,1249,5536628,0.2255885712386673
Roth (2007),449,Target,sunny,147,5536628,0.026550456342741467
Roth (2007),450,Input,work,4235,5536628,0.7649060041599327
Roth (2007),450,Target,worker,194,5536628,0.035039377758447926
Roth (2007),451,Input,deep,1344,5536628,0.24274702941935056
Roth (2007),451,Target,depth,44,5536628,0.007947075367895405
Roth (2007),452,Input,action,489,5536628,0.0883209057932012
Roth (2007),452,Target,act,558,5536628,0.10078336489285536
Roth (2007),453,Input,art,510,5536628,0.09211382812787856
Roth (2007),453,Target,artist,170,5536628,0.03070460937595952
Roth (2007),454,Input,wide,787,5536628,0.14214427987576556
Roth (2007),454,Target,width,26,5536628,0.004695999081029103
Roth (2007),455,Input,strength,439,5536628,0.0792901383296837
Roth (2007),455,Target,strong,922,5536628,0.16652735202726282
Roth (2007),456,Input,music,872,5536628,0.1574965845637453
Roth (2007),456,Target,musician,40,5536628,0.007224613970814004
McCutchen et al. (2009),457,Input,four,2329,5536628,0.4206531484506454
McCutchen et al. (2009),457,Target,fourth,320,5536628,0.057796911766512034
McCutchen et al. (2009),458,Input,ill,296,5536628,0.05346214338402363
McCutchen et al. (2009),458,Target,illness,138,5536628,0.024924918199308314
McCutchen et al. (2009),459,Input,allow,378,5536628,0.06827260202419234
McCutchen et al. (2009),459,Target,allowance,73,5536628,0.013184920496735558
McCutchen et al. (2009),460,Input,strong,922,5536628,0.16652735202726282
McCutchen et al. (2009),460,Target,strength,439,5536628,0.0792901383296837
McCutchen et al. (2009),461,Input,art,510,5536628,0.09211382812787856
McCutchen et al. (2009),461,Target,artist,170,5536628,0.03070460937595952
McCutchen et al. (2009),462,Input,quick,708,5536628,0.12787566728340788
McCutchen et al. (2009),462,Target,quickly,1220,5536628,0.22035072610982714
McCutchen et al. (2009),463,Input,victory,176,5536628,0.03178830147158162
McCutchen et al. (2009),463,Target,victorious,12,5536628,0.0021673841912442015
McCutchen et al. (2009),464,Input,assume,101,5536628,0.018242150276305363
McCutchen et al. (2009),464,Target,assumption,18,5536628,0.003251076286866302
McCutchen et al. (2009),465,Input,music,872,5536628,0.1574965845637453
McCutchen et al. (2009),465,Target,musician,40,5536628,0.007224613970814004
McCutchen et al. (2009),466,Input,care,2594,5536628,0.4685162160072882
McCutchen et al. (2009),466,Target,careful,467,5536628,0.0843473681092535
McCutchen et al. (2009),467,Input,sad,435,5536628,0.07856767693260229
McCutchen et al. (2009),467,Target,sadness,75,5536628,0.013546151195276258
McCutchen et al. (2009),468,Input,decide,391,5536628,0.0706206015647069
McCutchen et al. (2009),468,Target,decision,323,5536628,0.058338757814323086
McCutchen et al. (2009),469,Input,swim,381,5536628,0.06881444807200339
McCutchen et al. (2009),469,Target,swimmer,69,5536628,0.012462459099654157
McCutchen et al. (2009),470,Input,examine,93,5536628,0.01679722748214256
McCutchen et al. (2009),470,Target,examination,64,5536628,0.011559382353302406
McCutchen et al. (2009),471,Input,nerve,95,5536628,0.01715845818068326
McCutchen et al. (2009),471,Target,nervous,387,5536628,0.0698981401676255
McCutchen et al. (2009),472,Input,trick,300,5536628,0.05418460478110503
McCutchen et al. (2009),472,Target,tricky,65,5536628,0.011739997702572757
McCutchen et al. (2009),473,Input,five,1920,5536628,0.34678147059907216
McCutchen et al. (2009),473,Target,fifth,255,5536628,0.04605691406393928
McCutchen et al. (2009),474,Input,absent,32,5536628,0.005779691176651203
McCutchen et al. (2009),474,Target,absence,50,5536628,0.009030767463517506
McCutchen et al. (2009),475,Input,win,843,5536628,0.15225873943490514
McCutchen et al. (2009),475,Target,winner,217,5536628,0.03919353079166597
McCutchen et al. (2009),476,Input,distant,156,5536628,0.028175994486174617
McCutchen et al. (2009),476,Target,distance,473,5536628,0.0854310602048756
McCutchen et al. (2009),477,Input,science,403,5536628,0.07278798575595109
McCutchen et al. (2009),477,Target,scientist,103,5536628,0.018603380974846064
McCutchen et al. (2009),478,Input,deep,1344,5536628,0.24274702941935056
McCutchen et al. (2009),478,Target,depth,44,5536628,0.007947075367895405
McCutchen et al. (2009),479,Input,pain,699,5536628,0.12625012913997474
McCutchen et al. (2009),479,Target,painful,158,5536628,0.02853722518471532
McCutchen et al. (2009),480,Input,think,6346,5536628,1.1461850064696417
McCutchen et al. (2009),480,Target,thought,4675,5536628,0.8443767578388868
McCutchen et al. (2009),481,Input,accept,254,5536628,0.045876298714668924
McCutchen et al. (2009),481,Target,acceptable,51,5536628,0.009211382812787857
McCutchen et al. (2009),482,Input,comfort,232,5536628,0.04190276103072123
McCutchen et al. (2009),482,Target,comfortable,339,5536628,0.06122860340264869
McCutchen et al. (2009),483,Input,sign,827,5536628,0.14936889384657956
McCutchen et al. (2009),483,Target,signature,41,5536628,0.007405229320084355
McCutchen et al. (2009),484,Input,long,5091,5536628,0.9195127431353525
McCutchen et al. (2009),484,Target,length,252,5536628,0.04551506801612822
McCutchen et al. (2009),485,Input,know,10391,5536628,1.8767740942682078
McCutchen et al. (2009),485,Target,knowledge,286,5536628,0.05165598989132013
McCutchen et al. (2009),486,Input,excel,28,5536628,0.005057229779569804
McCutchen et al. (2009),486,Target,excellent,154,5536628,0.027814763787633916
