Reference,Item number,Type,Word,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words
Carlisle (2000),55,Target,grow,331,3826525,0.0865014602
Carlisle (2000),56,Input,dryer,50,3826525,0.01306668583
Carlisle (2000),56,Target,dry,446,3826525,0.1165548376
Carlisle (2000),57,Input,variable,0,3826525,0
Carlisle (2000),57,Target,vary,0,3826525,0
Carlisle (2000),58,Input,width,0,3826525,0
Carlisle (2000),58,Target,wide,175,3826525,0.04573340041
Carlisle (2000),59,Input,density,0,3826525,0
Carlisle (2000),59,Target,dense,4,3826525,0.001045334866
Carlisle (2000),60,Input,discussion,13,3826525,0.003397338316
Carlisle (2000),60,Target,discuss,12,3826525,0.003136004599
Carlisle (2000),61,Input,famous,16,3826525,0.004181339466
Carlisle (2000),61,Target,fame,6,3826525,0.0015680023
Carlisle (2000),62,Input,description,2,3826525,0.0005226674332
Carlisle (2000),62,Target,describe,21,3826525,0.005488008049
Carlisle (2000),63,Input,fifth,60,3826525,0.015680023
Carlisle (2000),63,Target,five,1965,3826525,0.5135207532
Carlisle (2000),64,Input,election,7,3826525,0.001829336016
Carlisle (2000),64,Target,elect,1,3826525,0.0002613337166
Carlisle (2000),65,Input,strength,11,3826525,0.002874670883
Carlisle (2000),65,Target,strong,259,3826525,0.06768543261
Carlisle (2000),66,Input,decision,20,3826525,0.005226674332
Carlisle (2000),66,Target,decide,130,3826525,0.03397338316
Carlisle (2000),67,Input,popularity,0,3826525,0
Carlisle (2000),67,Target,popular,9,3826525,0.00235200345
Carlisle (2000),68,Input,runner,10,3826525,0.002613337166
Carlisle (2000),68,Target,run,855,3826525,0.2234403277
Carlisle (2000),69,Input,publicity,0,3826525,0
Carlisle (2000),69,Target,public,26,3826525,0.006794676632
Carlisle (2000),70,Input,difference,116,3826525,0.03031471113
Carlisle (2000),70,Target,differ,1,3826525,0.0002613337166
Carlisle (2000),71,Input,originality,0,3826525,0
Carlisle (2000),71,Target,original,18,3826525,0.004704006899
Carlisle (2000),72,Input,agreeable,4,3826525,0.001045334866
Carlisle (2000),72,Target,agree,33,3826525,0.008624012649
Carlisle (2000),73,Input,courageous,0,3826525,0
Carlisle (2000),73,Target,courage,2,3826525,0.0005226674332
Carlisle (2000),74,Input,admission,3,3826525,0.0007840011499
Carlisle (2000),74,Target,admit,15,3826525,0.003920005749
Carlisle (2000),75,Input,dangerous,139,3826525,0.03632538661
Carlisle (2000),75,Target,danger,51,3826525,0.01332801955
Carlisle (2000),76,Input,reduction,6,3826525,0.0015680023
Carlisle (2000),76,Target,reduce,2,3826525,0.0005226674332
Carlisle (2000),77,Input,baker,27,3826525,0.007056010349
Carlisle (2000),77,Target,bake,86,3826525,0.02247469963
Carlisle (2000),78,Input,division,2,3826525,0.0005226674332
Carlisle (2000),78,Target,divide,4,3826525,0.001045334866
Carlisle (2000),79,Input,guidance,0,3826525,0
Carlisle (2000),79,Target,guide,12,3826525,0.003136004599
Carlisle (2000),80,Input,continuous,2,3826525,0.0005226674332
Carlisle (2000),80,Target,continue,21,3826525,0.005488008049
Carlisle (2000),81,Input,reliable,0,3826525,0
Carlisle (2000),81,Target,rely,2,3826525,0.0005226674332
Carlisle (2000),82,Input,acceptance,0,3826525,0
Carlisle (2000),82,Target,accept,5,3826525,0.001306668583
Kieffer & Lesaux (2008),85,Input,growth,3,3826525,0.0007840011499
Kieffer & Lesaux (2008),85,Target,grow,331,3826525,0.0865014602
Kieffer & Lesaux (2008),86,Input,dryer,50,3826525,0.01306668583
Kieffer & Lesaux (2008),86,Target,dry,446,3826525,0.1165548376
Kieffer & Lesaux (2008),87,Input,width,0,3826525,0
Kieffer & Lesaux (2008),87,Target,wide,175,3826525,0.04573340041
Kieffer & Lesaux (2008),88,Input,density,0,3826525,0
Kieffer & Lesaux (2008),88,Target,dense,4,3826525,0.001045334866
Kieffer & Lesaux (2008),89,Input,discussion,13,3826525,0.003397338316
Kieffer & Lesaux (2008),89,Target,discuss,12,3826525,0.003136004599
Kieffer & Lesaux (2008),90,Input,famous,16,3826525,0.004181339466
Kieffer & Lesaux (2008),90,Target,fame,6,3826525,0.0015680023
Kieffer & Lesaux (2008),91,Input,fifth,60,3826525,0.015680023
Kieffer & Lesaux (2008),91,Target,five,1965,3826525,0.5135207532
Kieffer & Lesaux (2008),92,Input,strength,11,3826525,0.002874670883
Kieffer & Lesaux (2008),92,Target,strong,259,3826525,0.06768543261
Kieffer & Lesaux (2008),93,Input,decision,20,3826525,0.005226674332
Kieffer & Lesaux (2008),93,Target,decide,130,3826525,0.03397338316
Kieffer & Lesaux (2008),94,Input,popularity,0,3826525,0
Kieffer & Lesaux (2008),94,Target,popular,9,3826525,0.00235200345
Kieffer & Lesaux (2008),95,Input,runner,10,3826525,0.002613337166
Kieffer & Lesaux (2008),95,Target,run,855,3826525,0.2234403277
Kieffer & Lesaux (2008),96,Input,availability,1,3826525,0.0002613337166
Kieffer & Lesaux (2008),96,Target,available,15,3826525,0.003920005749
Kieffer & Lesaux (2008),97,Input,glorious,4,3826525,0.001045334866
Kieffer & Lesaux (2008),97,Target,glory,12,3826525,0.003136004599
Kieffer & Lesaux (2008),98,Input,originality,0,3826525,0
Kieffer & Lesaux (2008),98,Target,original,18,3826525,0.004704006899
Kieffer & Lesaux (2008),99,Input,courageous,0,3826525,0
Kieffer & Lesaux (2008),99,Target,courage,2,3826525,0.0005226674332
Kieffer & Lesaux (2008),100,Input,admission,3,3826525,0.0007840011499
Kieffer & Lesaux (2008),100,Target,admit,15,3826525,0.003920005749
Kieffer & Lesaux (2008),101,Input,baker,27,3826525,0.007056010349
Kieffer & Lesaux (2008),101,Target,bake,86,3826525,0.02247469963
Kieffer & Lesaux (2008),102,Input,division,2,3826525,0.0005226674332
Kieffer & Lesaux (2008),102,Target,divide,4,3826525,0.001045334866
Kieffer & Lesaux (2008),103,Input,fourth,64,3826525,0.01672535786
Kieffer & Lesaux (2008),103,Target,four,1855,3826525,0.4847740443
Kieffer & Lesaux (2008),104,Input,continuous,2,3826525,0.0005226674332
Kieffer & Lesaux (2008),104,Target,continue,21,3826525,0.005488008049
Kieffer & Lesaux (2008),105,Input,swimmer,14,3826525,0.003658672033
Kieffer & Lesaux (2008),105,Target,swim,351,3826525,0.09172813453
Kieffer & Lesaux (2008),106,Input,furious,4,3826525,0.001045334866
Kieffer & Lesaux (2008),106,Target,fury,7,3826525,0.001829336016
Kieffer & Lesaux (2008),107,Input,teacher,418,3826525,0.1092374935
Kieffer & Lesaux (2008),107,Target,teach,162,3826525,0.04233606209
Kieffer & Lesaux (2008),108,Input,activity,13,3826525,0.003397338316
Kieffer & Lesaux (2008),108,Target,active,5,3826525,0.001306668583
Kieffer & Lesaux (2008),109,Input,possession,0,3826525,0
Kieffer & Lesaux (2008),109,Target,possess,0,3826525,0
Kruk & Bergman (2013),110,Input,needed,90,3826525,0.0235200345
Kruk & Bergman (2013),110,Target,need,4434,3826525,1.1587537
Kruk & Bergman (2013),111,Input,owner,24,3826525,0.006272009199
Kruk & Bergman (2013),111,Target,own,557,3826525,0.1455628802
Kruk & Bergman (2013),112,Input,decision,20,3826525,0.005226674332
Kruk & Bergman (2013),112,Target,decide,130,3826525,0.03397338316
Kruk & Bergman (2013),113,Input,flowers,642,3826525,0.1677762461
Kruk & Bergman (2013),113,Target,flower,518,3826525,0.1353708652
Kruk & Bergman (2013),114,Input,cutting,162,3826525,0.04233606209
Kruk & Bergman (2013),114,Target,cut,1184,3826525,0.3094191205
Kruk & Bergman (2013),115,Input,running,442,3826525,0.1155095027
Kruk & Bergman (2013),115,Target,run,855,3826525,0.2234403277
Kruk & Bergman (2013),116,Input,walked,167,3826525,0.04364273068
Kruk & Bergman (2013),116,Target,walk,1020,3826525,0.266560391
Kruk & Bergman (2013),117,Input,friends,629,3826525,0.1643789078
Kruk & Bergman (2013),117,Target,friend,863,3826525,0.2255309974
Kruk & Bergman (2013),118,Input,wanted,940,3826525,0.2456536936
Kruk & Bergman (2013),118,Target,want,14301,3826525,3.737333481
Kruk & Bergman (2013),119,Input,glasses,356,3826525,0.09303480312
