Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words,COCA Count,COCA Total Count,COCA Frequency per 1000 words,Movies Count,Movies Total Count,Movies Frequency per 1000 words,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words,Average Frequency per 1000 Words
Roth (2007),18,Foil,widely,0,199877,0.0,61,5536628,0.0110175363054913,1,66112,0.0151258470474346,1,3826525,0.0002613337166,0.006601179267381475
Roth (2007),19,Target,creation,0,199877,0.0,57,5536628,0.0102950749084099,0,66112,0.0,4,3826525,0.001045334866,0.002835102443602475
Roth (2007),19,Foil,creature,21,199877,0.1050646147380639,382,5536628,0.0689950634212737,5,66112,0.0756292352371732,26,3826525,0.006794676632,0.0641208975071277
Roth (2007),20,Target,desperation,0,199877,0.0,30,5536628,0.0054184604781105,0,66112,0.0,4,3826525,0.001045334866,0.001615948836027625
Roth (2007),20,Foil,desperately,0,199877,0.0,100,5536628,0.018061534927035,0,66112,0.0,6,3826525,0.0015680023,0.00490738430675875
Singson et al. (2000),21,Target,operation,1,199877,0.0050030768922887,110,5536628,0.0198676884197385,2,66112,0.0302516940948693,5,3826525,0.001306668583,0.014107281997474125
Singson et al. (2000),21,Foil,operational,0,199877,0.0,8,5536628,0.0014449227941628,0,66112,0.0,0,3826525,0.0,0.0003612306985407
Singson et al. (2000),21,Foil,operative,0,199877,0.0,5,5536628,0.0009030767463517,0,66112,0.0,0,3826525,0.0,0.000225769186587925
Singson et al. (2000),21,Foil,operationalize,0,199877,0.0,1,5536628,0.0001806153492703,0,66112,0.0,0,3826525,0.0,4.5153837317575e-05
Singson et al. (2000),22,Target,gratify,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),22,Foil,grateful,2,199877,0.0100061537845775,163,5536628,0.029440301931067,2,66112,0.0302516940948693,3,3826525,0.0007840011499,0.01762053774010345
Singson et al. (2000),22,Foil,gratuity,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),22,Foil,demonstrate,1,199877,0.0050030768922887,60,5536628,0.010836920956221,0,66112,0.0,1,3826525,0.0002613337166,0.0040253328912774255
Singson et al. (2000),23,Target,demonstrate,1,199877,0.0050030768922887,60,5536628,0.010836920956221,0,66112,0.0,1,3826525,0.0002613337166,0.0040253328912774255
Singson et al. (2000),23,Foil,demonstration,0,199877,0.0,56,5536628,0.0101144595591396,0,66112,0.0,5,3826525,0.001306668583,0.0028552820355349
Singson et al. (2000),23,Foil,demonstrative,0,199877,0.0,1,5536628,0.0001806153492703,0,66112,0.0,0,3826525,0.0,4.5153837317575e-05
Singson et al. (2000),23,Foil,demonstrable,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),24,Target,personality,1,199877,0.0050030768922887,117,5536628,0.0211319958646309,3,66112,0.0453775411423039,2,3826525,0.0005226674332,0.018008820333105875
Singson et al. (2000),24,Foil,personify,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),24,Foil,personalize,0,199877,0.0,6,5536628,0.0010836920956221,0,66112,0.0,0,3826525,0.0,0.000270923023905525
Singson et al. (2000),24,Foil,personal,2,199877,0.0100061537845775,400,5536628,0.07224613970814,5,66112,0.0756292352371732,6,3826525,0.0015680023,0.03986238275747268
Singson et al. (2000),25,Target,productive,0,199877,0.0,22,5536628,0.0039735376839477,0,66112,0.0,4,3826525,0.001045334866,0.001254718137486925
Singson et al. (2000),25,Foil,productivity,0,199877,0.0,6,5536628,0.0010836920956221,0,66112,0.0,0,3826525,0.0,0.000270923023905525
Singson et al. (2000),25,Foil,production,0,199877,0.0,76,5536628,0.0137267665445466,0,66112,0.0,3,3826525,0.0007840011499,0.00362769192361165
Singson et al. (2000),25,Foil,produce,0,199877,0.0,124,5536628,0.0223963033095234,0,66112,0.0,4,3826525,0.001045334866,0.00586040954388085
Singson et al. (2000),26,Target,fertilize,0,199877,0.0,5,5536628,0.0009030767463517,0,66112,0.0,0,3826525,0.0,0.000225769186587925
Singson et al. (2000),26,Foil,fertilization,0,199877,0.0,13,5536628,0.0023479995405145,0,66112,0.0,0,3826525,0.0,0.000586999885128625
Singson et al. (2000),26,Foil,fertility,0,199877,0.0,28,5536628,0.0050572297795698,0,66112,0.0,0,3826525,0.0,0.00126430744489245
Singson et al. (2000),26,Foil,fertilizer,0,199877,0.0,26,5536628,0.0046959990810291,0,66112,0.0,4,3826525,0.001045334866,0.0014353334867572751
Singson et al. (2000),27,Target,industrious,0,199877,0.0,8,5536628,0.0014449227941628,0,66112,0.0,0,3826525,0.0,0.0003612306985407
Singson et al. (2000),27,Foil,industrialization,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),27,Foil,industry,0,199877,0.0,38,5536628,0.0068633832722733,0,66112,0.0,1,3826525,0.0002613337166,0.001781179247218325
Singson et al. (2000),27,Foil,industrialize,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),28,Target,identical,0,199877,0.0,61,5536628,0.0110175363054913,0,66112,0.0,2,3826525,0.0005226674332,0.002885050934672825
Singson et al. (2000),28,Foil,identify,0,199877,0.0,132,5536628,0.0238412261036862,0,66112,0.0,5,3826525,0.001306668583,0.0062869736716715495
Singson et al. (2000),28,Foil,identification,0,199877,0.0,63,5536628,0.011378767004032,0,66112,0.0,1,3826525,0.0002613337166,0.002910025180158
Singson et al. (2000),28,Foil,identity,1,199877,0.0050030768922887,55,5536628,0.0099338442098692,1,66112,0.0151258470474346,5,3826525,0.001306668583,0.007842359183148125
Singson et al. (2000),29,Target,activist,0,199877,0.0,12,5536628,0.0021673841912442,0,66112,0.0,0,3826525,0.0,0.00054184604781105
Singson et al. (2000),29,Foil,active,1,199877,0.0050030768922887,252,5536628,0.0455150680161282,1,66112,0.0151258470474346,5,3826525,0.001306668583,0.016737665134712875
Singson et al. (2000),29,Foil,activate,0,199877,0.0,14,5536628,0.0025286148897849,0,66112,0.0,0,3826525,0.0,0.000632153722446225
Singson et al. (2000),29,Foil,activize,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),30,Target,brightness,0,199877,0.0,25,5536628,0.0045153837317587,0,66112,0.0,1,3826525,0.0002613337166,0.001194179362089675
Singson et al. (2000),30,Foil,bright,77,199877,0.3852369207062343,689,5536628,0.1244439756472712,3,66112,0.0453775411423039,119,3826525,0.03109871228,0.14653928744395234
Singson et al. (2000),30,Foil,brighten,2,199877,0.0100061537845775,26,5536628,0.0046959990810291,0,66112,0.0,1,3826525,0.0002613337166,0.00374087164555165
Singson et al. (2000),30,Foil,brightly,5,199877,0.0250153844614437,90,5536628,0.0162553814343315,0,66112,0.0,6,3826525,0.0015680023,0.010709692048943802
Singson et al. (2000),31,Target,population,1,199877,0.0050030768922887,154,5536628,0.0278147637876339,1,66112,0.0151258470474346,2,3826525,0.0005226674332,0.0121165887901393
Singson et al. (2000),31,Foil,popular,2,199877,0.0100061537845775,304,5536628,0.0549070661781864,0,66112,0.0,9,3826525,0.00235200345,0.016816305853190976
Singson et al. (2000),31,Foil,populate,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),31,Foil,popularize,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),32,Target,electricity,1,199877,0.0050030768922887,82,5536628,0.0148104586401687,0,66112,0.0,49,3826525,0.01280535211,0.00815472191061435
Singson et al. (2000),32,Foil,electrify,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),32,Foil,electrical,0,199877,0.0,68,5536628,0.0122818437503838,0,66112,0.0,5,3826525,0.001306668583,0.00339712808334595
Singson et al. (2000),32,Foil,electric,6,199877,0.0300184613537325,114,5536628,0.0205901498168199,2,66112,0.0302516940948693,48,3826525,0.0125440184,0.023351080916355425
Singson et al. (2000),33,Target,regulate,0,199877,0.0,18,5536628,0.0032510762868663,0,66112,0.0,3,3826525,0.0007840011499,0.001008769359191575
Singson et al. (2000),33,Foil,regulation,0,199877,0.0,18,5536628,0.0032510762868663,0,66112,0.0,0,3826525,0.0,0.000812769071716575
Singson et al. (2000),33,Foil,regularity,0,199877,0.0,4,5536628,0.0007224613970814,0,66112,0.0,0,3826525,0.0,0.00018061534927035
Singson et al. (2000),33,Foil,regular,1,199877,0.0050030768922887,423,5536628,0.0764002927413581,2,66112,0.0302516940948693,134,3826525,0.03501871803,0.03666844543962902
Singson et al. (2000),34,Target,colonize,0,199877,0.0,1,5536628,0.0001806153492703,0,66112,0.0,0,3826525,0.0,4.5153837317575e-05
Singson et al. (2000),34,Foil,colonist,0,199877,0.0,8,5536628,0.0014449227941628,0,66112,0.0,0,3826525,0.0,0.0003612306985407
Singson et al. (2000),34,Foil,colonization,0,199877,0.0,2,5536628,0.0003612306985407,0,66112,0.0,0,3826525,0.0,9.0307674635175e-05
Singson et al. (2000),34,Foil,colonial,0,199877,0.0,29,5536628,0.0052378451288401,0,66112,0.0,1,3826525,0.0002613337166,0.0013747947113600249
Singson et al. (2000),35,Target,glorious,2,199877,0.0100061537845775,68,5536628,0.0122818437503838,1,66112,0.0151258470474346,4,3826525,0.001045334866,0.009614794862098975
Singson et al. (2000),35,Foil,gloriousness,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),35,Foil,glorify,0,199877,0.0,2,5536628,0.0003612306985407,0,66112,0.0,0,3826525,0.0,9.0307674635175e-05
Singson et al. (2000),35,Foil,glorification,0,199877,0.0,0,5536628,0.0,0,66112,0.0,1,3826525,0.0002613337166,6.533342915e-05
Singson et al. (2000),36,Target,deadness,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),36,Foil,dead,6,199877,0.0300184613537325,1154,5536628,0.208430113057984,38,66112,0.574782187802517,184,3826525,0.04808540386,0.2153290415185584
Singson et al. (2000),36,Foil,deadly,0,199877,0.0,129,5536628,0.0232993800558751,2,66112,0.0302516940948693,0,3826525,0.0,0.0133877685376861
Singson et al. (2000),36,Foil,deaden,0,199877,0.0,2,5536628,0.0003612306985407,0,66112,0.0,0,3826525,0.0,9.0307674635175e-05
Singson et al. (2000),37,Target,active,1,199877,0.0050030768922887,252,5536628,0.0455150680161282,1,66112,0.0151258470474346,5,3826525,0.001306668583,0.016737665134712875
Singson et al. (2000),37,Foil,activation,0,199877,0.0,6,5536628,0.0010836920956221,0,66112,0.0,0,3826525,0.0,0.000270923023905525
Singson et al. (2000),37,Foil,activity,1,199877,0.0050030768922887,373,5536628,0.0673695252778406,1,66112,0.0151258470474346,13,3826525,0.003397338316,0.022723946883390973
Singson et al. (2000),37,Foil,activate,0,199877,0.0,14,5536628,0.0025286148897849,0,66112,0.0,0,3826525,0.0,0.000632153722446225
Singson et al. (2000),38,Target,critical,0,199877,0.0,147,5536628,0.0265504563427414,0,66112,0.0,0,3826525,0.0,0.00663761408568535
Singson et al. (2000),38,Foil,critically,0,199877,0.0,16,5536628,0.0028898455883256,0,66112,0.0,0,3826525,0.0,0.0007224613970814
Singson et al. (2000),38,Foil,criticism,0,199877,0.0,31,5536628,0.0055990758273808,1,66112,0.0151258470474346,1,3826525,0.0002613337166,0.00524656414785385
Singson et al. (2000),38,Foil,criticize,0,199877,0.0,20,5536628,0.003612306985407,1,66112,0.0151258470474346,1,3826525,0.0002613337166,0.0047498719373603995
Singson et al. (2000),39,Target,conversationalist,0,199877,0.0,1,5536628,0.0001806153492703,0,66112,0.0,1,3826525,0.0002613337166,0.00011048726646757499
Singson et al. (2000),39,Foil,conversational,0,199877,0.0,5,5536628,0.0009030767463517,0,66112,0.0,0,3826525,0.0,0.000225769186587925
Singson et al. (2000),39,Foil,converse,0,199877,0.0,5,5536628,0.0009030767463517,0,66112,0.0,0,3826525,0.0,0.000225769186587925
Singson et al. (2000),39,Foil,conversation,2,199877,0.0100061537845775,340,5536628,0.061409218751919,5,66112,0.0756292352371732,49,3826525,0.01280535211,0.03996248997091743
Singson et al. (2000),40,Target,diversify,0,199877,0.0,3,5536628,0.000541846047811,0,66112,0.0,0,3826525,0.0,0.00013546151195275
Singson et al. (2000),40,Foil,diversionary,0,199877,0.0,2,5536628,0.0003612306985407,0,66112,0.0,0,3826525,0.0,9.0307674635175e-05
Singson et al. (2000),40,Foil,diversity,0,199877,0.0,19,5536628,0.0034316916361366,0,66112,0.0,0,3826525,0.0,0.00085792290903415
Singson et al. (2000),40,Foil,diversion,0,199877,0.0,22,5536628,0.0039735376839477,1,66112,0.0151258470474346,0,3826525,0.0,0.004774846182845575
Nagy et al. (2003),41,Target,directions,1,199877,0.0050030768922887,224,5536628,0.0404578382365584,1,66112,0.0151258470474346,52,3826525,0.01358935326,0.018544028859070423
Nagy et al. (2003),41,Foil,directs,1,199877,0.0050030768922887,18,5536628,0.0032510762868663,0,66112,0.0,0,3826525,0.0,0.00206353829478875
Nagy et al. (2003),41,Foil,directing,1,199877,0.0050030768922887,30,5536628,0.0054184604781105,0,66112,0.0,1,3826525,0.0002613337166,0.0026707177717498
Nagy et al. (2003),41,Foil,directed,1,199877,0.0050030768922887,71,5536628,0.0128236897981948,0,66112,0.0,5,3826525,0.001306668583,0.004783358818370874
Nagy et al. (2003),42,Target,loveliest,0,199877,0.0,9,5536628,0.0016255381434331,0,66112,0.0,0,3826525,0.0,0.000406384535858275
Nagy et al. (2003),42,Foil,loving,7,199877,0.0350215382460213,182,5536628,0.0328719935672037,1,66112,0.0151258470474346,12,3826525,0.003136004599,0.021538845864914898
Nagy et al. (2003),42,Foil,lovingly,0,199877,0.0,22,5536628,0.0039735376839477,0,66112,0.0,0,3826525,0.0,0.000993384420986925
Nagy et al. (2003),42,Foil,loveliness,1,199877,0.0050030768922887,8,5536628,0.0014449227941628,0,66112,0.0,0,3826525,0.0,0.001611999921612875
Nagy et al. (2003),43,Target,announcement,1,199877,0.0050030768922887,66,5536628,0.0119206130518431,0,66112,0.0,7,3826525,0.001829336016,0.00468825649003295
Nagy et al. (2003),43,Foil,announce,0,199877,0.0,56,5536628,0.0101144595591396,1,66112,0.0151258470474346,3,3826525,0.0007840011499,0.00650607693911855
Nagy et al. (2003),43,Foil,announcing,0,199877,0.0,30,5536628,0.0054184604781105,0,66112,0.0,3,3826525,0.0007840011499,0.001550615407002625
Nagy et al. (2003),43,Foil,announced,12,199877,0.060036922707465,290,5536628,0.0523784512884015,1,66112,0.0151258470474346,7,3826525,0.001829336016,0.03234263926482527
Nagy et al. (2003),44,Target,quickness,0,199877,0.0,11,5536628,0.0019867688419738,0,66112,0.0,0,3826525,0.0,0.00049669221049345
Nagy et al. (2003),44,Foil,quicker,4,199877,0.020012307569155,46,5536628,0.0083083060664361,0,66112,0.0,9,3826525,0.00235200345,0.007668154271397776
Nagy et al. (2003),44,Foil,quickly,34,199877,0.1701046143378177,1220,5536628,0.2203507261098271,8,66112,0.1210067763794772,137,3826525,0.03580271918,0.1368162090017805
Nagy et al. (2003),44,Foil,quickest,0,199877,0.0,14,5536628,0.0025286148897849,0,66112,0.0,2,3826525,0.0005226674332,0.000762820580746225
Nagy et al. (2003),45,Target,creation,0,199877,0.0,57,5536628,0.0102950749084099,0,66112,0.0,4,3826525,0.001045334866,0.002835102443602475
Nagy et al. (2003),45,Foil,creative,0,199877,0.0,133,5536628,0.0240218414529565,1,66112,0.0151258470474346,7,3826525,0.001829336016,0.010244256129097776
Nagy et al. (2003),45,Foil,creator,0,199877,0.0,30,5536628,0.0054184604781105,0,66112,0.0,0,3826525,0.0,0.001354615119527625
Nagy et al. (2003),45,Foil,creates,0,199877,0.0,71,5536628,0.0128236897981948,3,66112,0.0453775411423039,0,3826525,0.0,0.014550307735124675
James et al. (2021),96,Target,picks,9,199877,0.0450276920305988,195,5536628,0.0352199931077182,1,66112,0.0151258470474346,62,3826525,0.01620269043,0.0278940556539379
James et al. (2021),96,Foil,pickes,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
James et al. (2021),96,Foil,picker,5,199877,0.0250153844614437,5,5536628,0.0009030767463517,0,66112,0.0,9,3826525,0.00235200345,0.00706761616444885
James et al. (2021),97,Target,carried,22,199877,0.1100676916303526,475,5536628,0.0857922909034163,2,66112,0.0302516940948693,60,3826525,0.015680023,0.060447924907159556
James et al. (2021),97,Foil,carries,4,199877,0.020012307569155,94,5536628,0.0169778428314129,2,66112,0.0302516940948693,37,3826525,0.009669347515,0.0192277980026093
James et al. (2021),97,Foil,carrying,13,199877,0.0650399995997538,416,5536628,0.0751359852964656,4,66112,0.0605033881897386,176,3826525,0.04599473413,0.0616685268039895
James et al. (2021),98,Target,laughs,3,199877,0.0150092306768662,190,5536628,0.0343169163613665,1,66112,0.0151258470474346,26,3826525,0.006794676632,0.017811667679416825
James et al. (2021),98,Foil,laughing,16,199877,0.0800492302766201,585,5536628,0.1056599793231548,0,66112,0.0,191,3826525,0.04991473987,0.05890598736744372
James et al. (2021),98,Foil,laugher,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
James et al. (2021),99,Target,plants,10,199877,0.0500307689228875,328,5536628,0.0592418345606748,1,66112,0.0151258470474346,131,3826525,0.03423471688,0.039658291852749224
James et al. (2021),99,Foil,planted,1,199877,0.0050030768922887,109,5536628,0.0196870730704681,1,66112,0.0151258470474346,26,3826525,0.006794676632,0.011652668410547849
James et al. (2021),99,Foil,plantes,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
James et al. (2021),100,Target,played,26,199877,0.1300799991995077,643,5536628,0.1161356695808351,1,66112,0.0151258470474346,398,3826525,0.1040108192,0.09133808375694434
James et al. (2021),100,Foil,playing,42,199877,0.2101292294761278,1119,5536628,0.2021085758335218,6,66112,0.0907550822846079,1649,3826525,0.4309392987,0.2334830465735644
James et al. (2021),100,Foil,plays,10,199877,0.0500307689228875,311,5536628,0.0561713736230788,1,66112,0.0151258470474346,122,3826525,0.03188271343,0.038302675755850224
James et al. (2021),101,Target,geese,6,199877,0.0300184613537325,55,5536628,0.0099338442098692,0,66112,0.0,30,3826525,0.007840011499,0.011948079265650426
James et al. (2021),101,Foil,goosed,0,199877,0.0,1,5536628,0.0001806153492703,0,66112,0.0,0,3826525,0.0,4.5153837317575e-05
James et al. (2021),101,Foil,geeses,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
James et al. (2021),102,Target,fought,1,199877,0.0050030768922887,227,5536628,0.0409996842843694,1,66112,0.0151258470474346,12,3826525,0.003136004599,0.016066153205773172
James et al. (2021),102,Foil,fighted,0,199877,0.0,0,5536628,0.0,0,66112,0.0,1,3826525,0.0002613337166,6.533342915e-05
James et al. (2021),102,Foil,fighting,3,199877,0.0150092306768662,436,5536628,0.0787482922818726,6,66112,0.0907550822846079,124,3826525,0.03240538086,0.054229496525836675
James et al. (2021),103,Target,benches,0,199877,0.0,38,5536628,0.0068633832722733,0,66112,0.0,8,3826525,0.002090669733,0.002238513251318325
James et al. (2021),103,Foil,benchs,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
James et al. (2021),103,Foil,benched,0,199877,0.0,4,5536628,0.0007224613970814,0,66112,0.0,0,3826525,0.0,0.00018061534927035
James et al. (2021),104,Target,chooses,0,199877,0.0,25,5536628,0.0045153837317587,0,66112,0.0,7,3826525,0.001829336016,0.001586179936939675
James et al. (2021),104,Foil,choose,13,199877,0.0650399995997538,493,5536628,0.0890433671902826,14,66112,0.2117618586640851,122,3826525,0.03188271343,0.09943198472103036
James et al. (2021),104,Foil,chooser,0,199877,0.0,0,5536628,0.0,1,66112,0.0151258470474346,0,3826525,0.0,0.00378146176185865
